id,seller_id,satisfaction_score,review_count,total_product_count,is_abusing_seller,processed_address,is_cross_border,is_english_name
1952,A00050433,88,16,53,True,서울특별시 용산구,0,0
1953,A00869252,86,43,438,True,경기도 고양시,0,0
1954,,25,41,0,True,서울특별시 용산구,0,0
1955,A01068636,83,526,4614,True,경상남도 양산시,1,0
1956,A00269260,87,588,14497,True,서울특별시 송파구,0,0
1957,A01254003,80,14,4156,True,서울특별시 동대문구,0,0
1958,C00615111,20,14,250,True,USA Los,1,1
1959,A00221949,80,64,983,True,서울특별시 강남구,0,0
1960,A00561071,79,816,94,True,경상남도 창원시,1,0
1961,C01057046,81,302,0,True,USA California,1,1
1962,,0,14,648,True,인천광역시 연수구,0,0
1963,A01046837,43,14,460,True,전북특별자치도 전주시,0,0
1964,A01235955,85,26,747,True,경기도 화성시,0,0
1965,A01250055,100,14,10,True,대구광역시 수성구,0,0
1966,,0,14,7671,True,경기도 수원시,0,0
1967,A00759878,0,14,1136,True,경기도 수원시,0,0
1968,,0,14,717,True,경기도 남양주시,0,0
1969,A01301953,41,14,983,True,서울특별시 광진구,0,0
1970,A00112719,97,4093,0,True,서울특별시 영등포구,0,0
1971,,0,14,6942,True,경기도 안산시,0,0
1972,,0,14,1308,True,인천광역시 서구,0,0
1973,A01282260,43,14,0,True,서울특별시 금천구,0,0
1974,A00638610,78,27,2368,True,경기도 화성시,0,0
1975,A00842075,69,16,17902,True,경기도 성남시,0,0
1976,A01194341,32,14,1546,True,경기도 평택시,0,0
1977,,0,5,1447,True,경기도 김포시,0,0
1978,,0,14,144087,True,경기도 남양주시,0,0
1979,A01375016,42,14,443,True,충청남도 논산시,1,0
1980,,0,23,3926,True,충청북도 청주시,1,0
1981,A01165038,100,14,214,True,경상북도 경산시,1,0
1982,,0,14,1553,True,대전광역시 중구,0,0
1983,A00201883,56,106,0,True,인천광역시 연수구,0,0
1984,A00933467,74,31,475,True,경기도 화성시,0,0
1985,A01370214,0,14,22856,True,경기도 고양시,0,0
1986,A01162464,93,92,8434,True,경기도 의정부시,0,0
1987,,0,14,1767,True,서울특별시 관악구,0,0
1988,,0,14,3039,True,울산광역시 울주군,0,0
1989,A01505580,0,14,3636,True,경기도 수원시,0,0
1990,A01256893,78,32,0,True,경기도 김포시,0,0
1991,,0,14,0,True,경기도 화성시,0,0
1992,A01218392,73,26,115,True,경기도 남양주시,0,0
1993,A01292726,0,14,6298,True,경기도 고양시,0,0
1994,A00177574,92,403,7088,True,부산광역시 영도구,0,0
1995,,0,14,3886,True,서울특별시 마포구,0,0
1996,A00314235,0,14,1356,True,서울특별시 강서구,0,0
1997,,0,14,6942,True,대구광역시 동구,0,0
1998,A00969737,100,14,3,True,경기도 고양시,0,0
1999,A00652317,0,14,1691,True,경상북도 울진군,1,0
2000,,0,14,6155,True,서울특별시 관악구,0,0
2001,A01222701,85,26,737,True,부산광역시 해운대구,0,0
2002,,0,16,2454,True,경기도 용인시,0,0
2003,A01047768,83,30,1086,True,서울특별시 중랑구,0,0
2004,A01046639,83,41,47065,True,경기도 남양주시,0,0
2005,A00429384,93,42,124,True,인천광역시 미추홀구,0,0
2006,A01266141,57,30,1286,True,서울특별시 영등포구,0,0
2007,,0,19,33,True,경기도 김포시,0,0
2008,,0,14,1427,True,경상남도 양산시,1,1
2009,,0,14,50,True,부산광역시 북구,0,0
2010,A01527691,99,340,0,True,제주특별자치도 제주시,0,0
2011,,0,14,219,True,경기도 수원시,0,0
2012,A01155438,0,14,3685,True,대전광역시 서구,0,0
2013,A01243849,87,63,288,True,인천광역시 서구,0,0
2014,A00657599,84,38,272,True,경기도 성남시,0,0
2015,,0,14,6298,True,충청북도 청주시,1,0
2016,,0,14,231,True,부산광역시 해운대구,0,0
2017,,0,25,0,True,경기도 김포시,0,0
2018,A00378521,0,14,126,True,광주광역시 광산구,0,0
2019,A01228172,0,14,2,True,울산광역시 북구,0,0
2020,,90,14,123,True,부산광역시 금정구,0,0
2021,,0,14,393,True,경기도 남양주시,0,0
2022,A01409716,11,44,460,True,인천광역시 서구,0,0
2023,A00711545,78,27,868,True,경기도 구리시,0,0
2024,A00704215,19,14,145,True,서울특별시 마포구,0,0
2025,,0,14,2891,True,경기도 김포시,0,0
2026,,0,14,98,True,경기도 부천시,0,0
2027,A00782696,48,14,380,True,서울특별시 강동구,0,0
2028,A01560258,25,14,707,True,경상남도 창원시,1,0
2029,A00842750,85,26,159,True,경기도 오산시,0,0
2030,,0,14,0,True,대구광역시 수성구,0,0
2031,A01050444,0,14,7021,True,서울특별시 강서구,0,0
2032,A01247641,0,14,922,True,인천광역시 연수구,0,0
2033,A00947008,0,14,39,True,경기도 고양시,0,0
2034,A01116828,93,71,570,True,인천광역시 서구,0,0
2035,A00845302,81,16,683,True,서울특별시 구로구,0,0
2036,A01225364,67,24,21712,True,경기도 김포시,0,0
2037,,0,14,1346,True,전북특별자치도 전주시,0,0
2038,,0,14,443,True,경기도 안성시,0,0
2039,A00188946,0,14,67,True,서울특별시 금천구,0,0
2040,,0,14,6769,True,경기도 김포시,0,0
2041,A00923054,30,14,940,True,경기도 안산시,0,0
2042,,0,14,50436,True,경기도 양주시,0,0
2043,,0,14,1356,True,경기도 양주시,0,0
2044,A00255356,0,14,1151,True,서울특별시 중랑구,0,0
2045,A01299799,20,14,1393,True,전라남도 목포시,1,0
2046,A01430706,88,40,202,True,경기도 고양시,0,0
2047,A01579870,36,14,127,True,서울특별시 관악구,0,0
2048,A01063829,81,57,75011,True,경기도 고양시,0,0
2049,viora,66,119,55,True,서울특별시 구로구,0,0
2050,A01110287,73,52,963,True,경기도 안성시,0,0
2051,,0,14,7671,True,경기도 남양주시,0,0
2052,,0,14,1808,True,인천광역시 부평구,0,0
2053,A00078779,88,51,190,True,서울특별시 마포구,0,0
2054,A00989558,26,14,7008,True,서울특별시 서초구,0,0
2055,A01245778,41,14,2608,True,서울특별시 광진구,0,0
2056,,0,14,52,True,경기도 안양시,0,0
2057,A00009526,93,468,97,True,서울특별시 동대문구,0,0
2058,A01529386,0,14,22856,True,인천광역시 계양구,0,0
2059,A00969240,75,219,3636,True,경상남도 김해시,1,0
2060,,0,14,6513,True,경기도 의정부시,0,0
2061,A01360047,24,21,1546,True,경기도 하남시,0,0
2062,,0,14,54118,True,경기도 파주시,0,0
2063,A01512083,50,14,1304,True,충청북도 청주시,1,0
2064,A00941512,36,14,146,True,경기도 용인시,0,0
2065,,0,14,68,True,경기도 남양주시,0,0
2066,A01233018,64,33,177,True,경상남도 김해시,1,0
2067,A00588118,87,76,1472,True,부산광역시 기장군,0,0
2068,A01288228,83,40,4196,True,부산광역시 사상구,0,0
2069,A00909070,15,14,540,True,경상남도 김해시,1,0
2070,,0,14,465,True,경기도 김포시,0,0
2071,A00960890,28,14,0,True,경기도 고양시,0,0
2072,,0,14,144087,True,서울특별시 영등포구,0,0
2073,,0,14,6812,True,서울특별시 양천구,0,0
2074,,0,14,219,True,경기도 고양시,0,0
2075,,0,0,0,True,서울특별시 영등포구,0,0
2076,A01446508,14,14,14497,True,부산광역시 남구,0,0
2077,A01538370,100,37,302,True,서울특별시 구로구,0,0
2078,,0,1301,546,True,인천광역시 연수구,0,0
2079,A01421013,82,17,42,True,부산광역시 사상구,0,0
2080,,0,14,7159,True,부산광역시 해운대구,0,0
2081,,0,14,7486,True,경기도 남양주시,0,0
2082,,0,14,195,True,부산광역시 사상구,0,0
2083,,0,14,281,True,경기도 수원시,0,0
2084,,0,29,116,True,서울특별시 금천구,0,0
2085,,0,39,957,True,인천광역시 서구,0,0
2086,,0,14,965,True,대구광역시 동구,0,0
2087,,0,14,435,True,경기도 광주시,0,0
2088,A00964940,68,371,302,True,대전광역시 서구,0,0
2089,A00885163,0,14,739,True,서울특별시 강동구,0,0
2090,,0,14,288,True,경기도 용인시,0,0
2091,,0,14,332,True,경기도 용인시,0,0
2092,A01173394,84,31,929,True,경기도 안양시,0,0
2093,,0,14,127,True,경기도 양주시,0,0
2094,,0,14,0,True,서울특별시 강남구,0,0
2095,,0,14,2891,True,서울특별시 도봉구,0,0
2096,A01399236,16,14,4125,True,인천광역시 중구,0,0
2097,,0,14,162,True,강원특별자치도 강릉시,0,0
2098,,0,14,4231,True,충청남도 천안시,1,0
2099,A01524600,13,14,965,True,경기도 화성시,0,0
2100,,0,19,965,True,경기도 남양주시,0,0
2101,,81,19915,0,True,경기도 김포시,0,0
2102,A00419830,96,28,169,True,인천광역시 연수구,0,0
2103,A01322569,20,14,6513,True,경기도 남양주시,0,0
2104,A01267249,90,41,1901,True,경기도 용인시,0,0
2105,A01465540,0,14,29026,True,경기도 김포시,0,0
2106,,0,14,7534,True,서울특별시 중랑구,0,0
2107,A00640696,75,14,791,True,서울특별시 용산구,0,0
2108,A00077226,76,17,7088,True,경기도 의정부시,0,0
2109,A01277106,0,14,394,True,경기도 안산시,0,0
2110,,0,14,0,True,인천광역시 연수구,0,0
2111,,0,14,951,True,경상남도 창원시,1,1
2112,A01438924,79,73,515,True,서울특별시 중랑구,0,0
2113,,0,14,1767,True,대구광역시 달서구,0,0
2114,,0,14,9882,True,서울특별시 서초구,0,0
2115,A00697236,67,21,0,True,경상남도 김해시,1,0
2116,A01148777,11,14,758,True,서울특별시 용산구,0,0
2117,A01487423,61,14,743,True,충청남도 천안시,1,0
2118,A00387644,88,1253,0,True,경상남도 창원시,1,0
2119,,0,14,9657,True,경기도 남양주시,0,0
2120,A01203654,17,14,29652,True,서울특별시 종로구,0,0
2121,A01067360,0,14,983,True,경기도 군포시,0,0
2122,A00847014,96,96,1136,True,부산광역시 연제구,0,0
2123,A00715797,0,14,7011,True,서울특별시 양천구,0,0
2124,,0,34,844,True,강원특별자치도 원주시,0,0
2125,A01265099,87,38,53,True,경기도 김포시,0,0
2126,A00905147,0,14,29652,True,경기도 광주시,0,0
2127,,0,14,2147,True,경기도 남양주시,0,0
2128,A00751767,37,14,2535,True,경기도 광주시,0,0
2129,,0,81,216,True,대구광역시 북구,0,0
2130,,0,14,8306,True,경상남도 거제시,1,0
2131,A00265358,0,14,515,True,서울특별시 강서구,0,0
2132,A01432983,37,14,23097,True,전라남도 여수시,1,0
2133,A00851985,0,14,1136,True,경기도 남양주시,0,0
2134,A01513589,0,14,21712,True,경기도 고양시,0,0
2135,A00284291,71,49,7671,True,대구광역시 중구,0,0
2136,A01228455,0,14,816,True,경기도 용인시,0,0
