vendor_name,avg_rating,rating_std,low_rating_ratio,avg_review_length,duplicate_review_ratio,negative_keyword_ratio,textless_5star_ratio,review_count,review_density,question_count,refund_question_ratio,defect_question_ratio,authenticity_question_ratio,question_density,question_review_ratio,negative_sentiment_ratio,avg_sentiment_score,rating_normalized,rating_sentiment_gap,product_count,abusive_label,conditions_met_count
(주) 드림오피스유통,4.85,0.4893604849295929,0.0,531.5,0.07142857142857142,0.0,0.2777777777777778,20,20.0,16.0,0.0625,0.0,0.0,16.0,0.8,0.0,1.0,0.9624999999999999,0.03750000000000009,1,0,2
(주)리빙스토리,4.333333333333333,1.2780193008453877,0.14285714285714285,144.66666666666666,0.14285714285714285,0.047619047619047616,0.5,21,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.9523809523809523,0.8333333333333333,0.11904761904761907,1,0,2
(주)씨제이이엔엠 (CJ온스타일),2.5714285714285716,1.511857892036909,0.42857142857142855,220.57142857142858,0.0,0.0,0.0,7,7.0,14.0,0.07142857142857142,0.0,0.0,14.0,2.0,0.0,1.0,0.3928571428571429,0.6071428571428571,1,1,4
"(주)어거스트포코리아(AUGUST FOUR KOREA Co.,Ltd.)",4.0,0.0,0.0,855.0,0.0,0.0,0.0,1,1.0,4.0,0.0,0.0,0.0,4.0,4.0,0.0,1.0,0.75,0.25,1,1,4
(주)에스티아이그룹,4.0,0.0,0.0,741.0,0.0,0.5,0.0,2,2.0,2.0,0.0,0.0,0.0,2.0,1.0,0.5,0.5,0.75,0.25,1,1,3
(주)에치와이,4.173913043478261,1.527093910103986,0.17391304347826086,82.91304347826087,0.13333333333333333,0.0,0.5625,23,23.0,16.0,0.0625,0.0,0.125,16.0,0.6956521739130435,0.0,1.0,0.7934782608695652,0.2065217391304348,1,0,2
(주)와이엔지컴퍼니,3.6,0.5477225575051661,0.0,160.4,0.16666666666666666,0.0,0.0,5,5.0,4.0,0.0,0.0,0.0,4.0,0.8,0.0,1.0,0.65,0.35,1,0,2
(주)원데이뉴트리션,4.3,1.4903196407411894,0.15,429.1,0.0,0.0,0.375,20,20.0,15.0,0.0,0.0,0.0,15.0,0.75,0.0,1.0,0.825,0.17500000000000004,1,0,2
(주)유니씨앤씨,3.6666666666666665,0.5773502691896258,0.0,797.0,0.0,0.3333333333333333,0.0,3,3.0,4.0,0.0,0.25,0.0,4.0,1.3333333333333333,0.3333333333333333,0.6666666666666667,0.6666666666666666,1.1102230246251565e-16,1,0,2
(주)유니토아,4.0,0.0,0.0,1098.0,0.0,0.0,0.0,1,1.0,4.0,0.25,0.0,0.0,4.0,4.0,0.0,1.0,0.75,0.25,1,1,4
